,Hindi Words,English Words
0,मैं,I
1,को,to
2,और,and
3,ए,a
4,का,of
5,था,was
6,वह,he
7,आप,you
8,यह,it
9,में,in
10,उसका,her
11,वह,she
12,वह,that
13,मेरा,my
14,उसका,his
15,मुझे,me
16,पर,on
17,साथ,with
18,पर,at
19,जैसा,as
20,था,had
21,के लिए,for
22,लेकिन,but
23,उसका,him
24,कहा,said
25,होना,be
26,ऊपर,up
27,बाहर,out
28,देखना,look
29,इसलिए,so
30,पास,have
31,क्या,what
32,नहीं,not
33,अभी,just
34,पसंद,like
35,जाना,go
36,वे,they
37,है,is
38,यह,this
39,से,from
40,सभी,all
41,हम,we
42,थे,were
43,पीछे,back
44,करना,do
45,एक,one
46,के बारे में,about
47,जानना,know
48,अगर,if
49,कब,when
50,पाना,get
51,तब,then
52,में,into
53,चाहेंगे,would
54,नहीं,no
55,वहाँ,there
56,मैं हूँ,I'm
57,सकना,could
58,नहीं,don't
59,पूछना,ask
60,नीचे,down
61,समय,time
62,नहीं था,didn't
63,चाहना,want
64,आँख,eye
65,उन्हें,them
66,ऊपर,over
67,आपका,your
68,हैं,are
69,या,or
70,गया,been
71,अब,now
72,एक,an
73,द्वारा,by
74,सोचना,think
75,देखना,see
76,हाथ,hand
77,इसका,it's
78,कहना,say
79,कैसे,how
80,आस-पास,around
81,सिर,head
82,किया,did
83,कुंआ,well
84,पहले,before
85,बंद,off
86,WHO,who
87,अधिक,more
88,यहां तक ​​की,even
89,मोड़,turn
90,आना,come
91,मुस्कान,smile
92,रास्ता,way
93,वास्तव में,really
94,कर सकना,can
95,चेहरा,face
96,अन्य,other
97,कुछ,some
98,सही,right
99,उनका,their
100,केवल,only
101,टहलना,walk
102,निर्माण,make
103,प्राप्त,got
104,कोशिश,try
105,कुछ,something
106,कमरा,room
107,दोबारा,again
108,चीज़,thing
109,बाद,after
110,फिर भी,still
111,विचार,thought
112,दरवाजा,door
113,यहाँ,here
114,बहुत,too
115,थोड़ा,little
116,क्योंकि,because
117,क्यों,why
118,दूर,away
119,होने देना,let
120,लेना,take
121,दो,two
122,शुरू,start
123,अच्छा,good
124,कहाँ,where
125,कभी नहीँ,never
126,द्वारा,through
127,दिन,day
128,अधिकता,much
129,कहना,tell
130,नहीं था,wasn't
131,लड़की,girl
132,अनुभव करना,feel
133,ओह,oh
134,आप कर रहे हैं,you're
135,पुकारना,call
136,बात करना,talk
137,इच्छा,will
138,लंबा,long
139,बजाय,than
140,हम,us
141,निर्मित,made
142,दोस्त,friend
143,जानता था,knew
144,खुला,open
145,ज़रूरत,need
146,पहला,first
147,कौन,which
148,लोग,people
149,वह है,that's
150,गया,went
151,ज़रूर,sure
152,प्रतीत होना,seem
153,रुकना,stop
154,आवाज़,voice
155,बहुत,very
156,अनुभव किया,felt
157,लिया,took
158,हमारा,our
159,खींचना,pull
160,हँसना,laugh
161,आदमी,man
162,ठीक,okay
163,बंद करना,close
164,कोई,any
165,आया,came
166,कहा,told
167,प्यार,love
168,घड़ी,watch
169,बाजू,arm
170,कुछ भी,anything
171,बीमार,I'll
172,यद्यपि,though
173,रखना,put
174,बाएं,left
175,काम,work
176,लड़का,guy
177,बाल,hair
178,अगला,next
179,नहीं कर सका,couldn't
180,हाँ,yeah
181,जबकि,while
182,अर्थ,mean
183,घर,home
184,कुछ,few
185,देखा,saw
186,जगह,place
187,विद्यालय,school
188,मदद,help
189,इंतज़ार,wait
190,देर,late
191,वर्ष,year
192,नहीं कर सकता,can't
193,घर,house
194,होना,happen
195,अंतिम,last
196,हमेशा,always
197,कदम,move
198,पुराना,old
199,रात,night
200,सिर हिलाकर सहमति देना,nod
201,ज़िंदगी,life
202,देना,give
203,बैठना,sit
204,एकटक देखना,stare
205,बैठा,sat
206,चाहिए,should
207,पल,moment
208,एक और,another
209,पीछे,behind
210,ओर,side
211,आवाज़,sound
212,एक बार,once
213,पाना,find
214,की ओर,toward
215,लड़का,boy
216,कभी,ever
217,कुछ नहीं,nothing
218,सामने,front
219,मां,mother
220,नाम,name
221,पूर्वाह्न,am
222,तब से,since
223,जवाब,reply
224,वह है,he's
225,खुद,myself
226,छुट्टी,leave
227,बिस्तर,bed
228,नया,new
229,कार,car
230,उपयोग,use
231,दिमाग,mind
232,शायद,maybe
233,है,has
234,सुना,heard
235,उत्तर,answer
236,मिनट,minute
237,हाँ,yes
238,जब तक,until
239,दोनों,both
240,मिला,found
241,अंत,end
242,छोटा,small
243,पहचान,I'd
244,शब्द,word
245,कोई,someone
246,वही,same
247,पर्याप्त,enough
248,शुरू किया,began
249,दौड़ना,run
250,अंश,bit
251,साँस,sigh
252,प्रत्येक,each
253,वे,those
254,लगभग,almost
255,ख़िलाफ़,against
256,सब कुछ,everything
257,अधिकांश,most
258,धन्यवाद,thank
259,नहीं,wouldn't
260,माँ,mom
261,बेहतर,better
262,खेल,play
263,मैंने,I've
264,अपना,own
265,प्रत्येक,every
266,मुश्किल,hard
267,याद करना,remember
268,तीन,three
269,खड़ा हुआ,stood
270,रहना,live
271,खड़ा होना,stand
272,दूसरा,second
273,क्षमा मांगना,sorry
274,रखना,keep
275,आखिरकार,finally
276,बिंदु,point
277,दिया,gave
278,पहले से,already
279,वास्तव में,actually
280,शायद,probably
281,वह स्वयं,himself
282,बड़ा,big
283,सब लोग,everyone
284,अनुमान,guess
285,बहुत,lot
286,कदम,step
287,अरे,hey
288,सुनना,hear
289,रोशनी,light
290,जल्दी से,quickly
291,पापा,dad
292,चुंबन,kiss
293,काला,black
294,चुनना,pick
295,अन्य,else
296,जल्दी,soon
297,कंधा,shoulder
298,मेज,table
299,श्रेष्ठ,best
300,बिना,without
301,सूचना,notice
302,रहना,stay
303,देखभाल,care
304,फ़ोन,phone
305,पहुँचना,reach
306,समझना,realize
307,अनुसरण करना,follow
308,तय करना,decide
309,दयालु,kind
310,वह है,she's
311,झपटना,grab
312,वह था,he'd
313,दिखाना,show
314,अंदर,inside
315,अचानक,suddenly
316,पिता,father
