Hindi Words,English Words
मैं,I
को,to
और,and
ए,a
का,of
था,was
वह,he
आप,you
यह,it
में,in
उसका,her
वह,she
वह,that
मेरा,my
उसका,his
मुझे,me
पर,on
साथ,with
पर,at
जैसा,as
था,had
के लिए,for
लेकिन,but
उसका,him
कहा,said
होना,be
ऊपर,up
बाहर,out
देखना,look
इसलिए,so
पास,have
क्या,what
नहीं,not
अभी,just
पसंद,like
जाना,go
वे,they
है,is
यह,this
से,from
सभी,all
हम,we
थे,were
पीछे,back
करना,do
एक,one
के बारे में,about
जानना,know
अगर,if
कब,when
पाना,get
तब,then
में,into
चाहेंगे,would
नहीं,no
वहाँ,there
मैं हूँ,I'm
सकना,could
नहीं,don't
पूछना,ask
नीचे,down
समय,time
नहीं था,didn't
चाहना,want
आँख,eye
उन्हें,them
ऊपर,over
आपका,your
हैं,are
या,or
गया,been
अब,now
एक,an
द्वारा,by
सोचना,think
देखना,see
हाथ,hand
इसका,it's
कहना,say
कैसे,how
आस-पास,around
सिर,head
किया,did
कुंआ,well
पहले,before
बंद,off
WHO,who
अधिक,more
यहां तक ​​की,even
मोड़,turn
आना,come
मुस्कान,smile
रास्ता,way
वास्तव में,really
कर सकना,can
चेहरा,face
अन्य,other
कुछ,some
सही,right
उनका,their
केवल,only
टहलना,walk
निर्माण,make
प्राप्त,got
कोशिश,try
कुछ,something
कमरा,room
दोबारा,again
चीज़,thing
बाद,after
फिर भी,still
विचार,thought
दरवाजा,door
यहाँ,here
बहुत,too
थोड़ा,little
क्योंकि,because
क्यों,why
दूर,away
होने देना,let
लेना,take
दो,two
शुरू,start
अच्छा,good
कहाँ,where
कभी नहीँ,never
द्वारा,through
दिन,day
अधिकता,much
कहना,tell
नहीं था,wasn't
लड़की,girl
अनुभव करना,feel
ओह,oh
आप कर रहे हैं,you're
पुकारना,call
बात करना,talk
इच्छा,will
लंबा,long
बजाय,than
हम,us
निर्मित,made
दोस्त,friend
जानता था,knew
खुला,open
ज़रूरत,need
पहला,first
कौन,which
लोग,people
वह है,that's
गया,went
ज़रूर,sure
प्रतीत होना,seem
रुकना,stop
आवाज़,voice
बहुत,very
अनुभव किया,felt
लिया,took
हमारा,our
खींचना,pull
हँसना,laugh
आदमी,man
ठीक,okay
बंद करना,close
कोई,any
आया,came
कहा,told
प्यार,love
घड़ी,watch
बाजू,arm
कुछ भी,anything
बीमार,I'll
यद्यपि,though
रखना,put
बाएं,left
काम,work
लड़का,guy
बाल,hair
अगला,next
नहीं कर सका,couldn't
हाँ,yeah
जबकि,while
अर्थ,mean
घर,home
कुछ,few
देखा,saw
जगह,place
विद्यालय,school
मदद,help
इंतज़ार,wait
देर,late
वर्ष,year
नहीं कर सकता,can't
घर,house
होना,happen
अंतिम,last
हमेशा,always
कदम,move
पुराना,old
रात,night
सिर हिलाकर सहमति देना,nod
ज़िंदगी,life
देना,give
बैठना,sit
एकटक देखना,stare
बैठा,sat
चाहिए,should
पल,moment
एक और,another
पीछे,behind
ओर,side
आवाज़,sound
एक बार,once
पाना,find
की ओर,toward
लड़का,boy
कभी,ever
कुछ नहीं,nothing
सामने,front
मां,mother
नाम,name
पूर्वाह्न,am
तब से,since
जवाब,reply
वह है,he's
खुद,myself
छुट्टी,leave
बिस्तर,bed
नया,new
कार,car
उपयोग,use
दिमाग,mind
शायद,maybe
है,has
सुना,heard
उत्तर,answer
मिनट,minute
हाँ,yes
जब तक,until
दोनों,both
मिला,found
अंत,end
छोटा,small
पहचान,I'd
शब्द,word
कोई,someone
वही,same
पर्याप्त,enough
शुरू किया,began
दौड़ना,run
अंश,bit
साँस,sigh
प्रत्येक,each
वे,those
लगभग,almost
ख़िलाफ़,against
सब कुछ,everything
अधिकांश,most
धन्यवाद,thank
नहीं,wouldn't
माँ,mom
बेहतर,better
खेल,play
मैंने,I've
अपना,own
प्रत्येक,every
मुश्किल,hard
याद करना,remember
तीन,three
खड़ा हुआ,stood
रहना,live
खड़ा होना,stand
दूसरा,second
क्षमा मांगना,sorry
रखना,keep
आखिरकार,finally
बिंदु,point
दिया,gave
पहले से,already
वास्तव में,actually
शायद,probably
वह स्वयं,himself
बड़ा,big
सब लोग,everyone
अनुमान,guess
बहुत,lot
कदम,step
अरे,hey
सुनना,hear
रोशनी,light
जल्दी से,quickly
पापा,dad
चुंबन,kiss
काला,black
चुनना,pick
अन्य,else
जल्दी,soon
कंधा,shoulder
मेज,table
श्रेष्ठ,best
बिना,without
सूचना,notice
रहना,stay
देखभाल,care
फ़ोन,phone
पहुँचना,reach
समझना,realize
अनुसरण करना,follow
तय करना,decide
दयालु,kind
वह है,she's
झपटना,grab
वह था,he'd
दिखाना,show
अंदर,inside
अचानक,suddenly
पिता,father
आराम,rest
खुद,herself
मुसकान,grin
घंटा,hour
आशा,hope
भी,also
शरीर,body
ताकत,might
नहीं था,hadn't
ज़मीन,floor
इसका,its
जारी रखना,continue
दौड़ा,ran
आर-पार,across
पकड़,hold
चिल्लाना,cry
आधा,half
सुंदर,pretty
महान,great
अवधि,course
मुँह,mouth
कक्षा,class
बच्चा,kid
कुमारी,miss
आश्चर्य,wonder
सुबह,morning
कम से कम,least
अच्छा,nice
अँधेरा,dark
धीरे से,slowly
पूर्ण,done
परिवर्तन,change
नहीं है,doesn't
साथ में,together
अभी तक,yet
सवाल,question
फिर भी,anyway
खराब,bad
नीला,blue
विश्वास करना,believe
सप्ताह,week
ईश्वर,God
ओंठ,lip
श्री।,Mr.
नींद,sleep
अच्छा,fine
क्या है,what's
परिवार,family
अनेक,many
चिंता,worry
लुढ़काना,roll
माता-पिता,parent
अंतर्गत,under
आश्चर्य,surprise
पानी,water
पर,onto
थे,we're
झलक,glance
दीवार,wall
बीच में,between
देखा,seen
पढ़ना,read
खिड़की,window
विचार,idea
सफ़ेद,white
धकेलना,push
पैर,feet
अवश्य,must
ऐसा,such
सीट,seat
तय करना,set
कृपया,please
लाल,red
भाई,brother
इन,these
पूरा,whole
दुबला,lean
भाग,part
व्यक्ति,person
थोड़ा,slightly
उत्तीर्ण,pass
हिलाया,shook
तथ्य,fact
गलत,wrong
गया,gone
दूर,far
मार,hit
उँगलिया,finger
अत्यंत,quite
घृणा,hate
मिलना,meet
खत्म करना,finish
दिल,heart
किताब,book
अतीत,past
मारना,kill
कारण,reason
कोई भी,anyone
आकृति,figure
ऊपर,top
साथ में,along
दुनिया,world
ओसारा,she'd
उच्च,high
शर्ट,shirt
करता है,does
आज,today
युवा,young
आयोजित,held
बाहर,outside
सुनना,listen
फुसफुसाना,whisper
नहीं होगा,won't
खुश,happy
ज़मीन,ground
गहरा,deep
बूँद,drop
कंधे उचकाने की क्रिया,shrug
पोशाक,dress
गिरा,fell
वहाँ है,there's
चिल्लाना,yell
साँस,breath
वायु,air
आंसू,tear
बहन,sister
कुर्सी,chair
रसोईघर,kitchen
मामला,matter
आहत,hurt
गिरना,fall
घिसाव,wear
नहीं है,isn't
महिला,woman
खाना,eat
झूठ,lie
नरक,hell
कल्पना करना,suppose
ढकना,cover
जोड़ा,couple
बड़ा,large
दोनों में से एक,either
पाँच,five
टांग,leg
कूदना,jump
मरना,die
वापस करना,return
योग्य,able
थैला,bag
अकेला,alone
बंद करना,shut
सामग्री,stuff
छोटा,short
तैयार,ready
समझना,understand
रखा,kept
योजना,plan
उठाना,raise
गली,street
अलग,different
संकट,problem
तोड़ना,break
पंक्ति,line
जल्दी,early
काटना,cut
ठंडा,cold
कागज़,paper
चीख,scream
बजाय,instead
बेवकूफ,stupid
मौन,silence
पेड़,tree
पकड़ा,caught
कान,ear
खाना,food
भरा हुआ,full
चार,four
कारण,cause
लानत है,fuck
व्याख्या करना,explain
अपेक्षा करना,expect
झगड़ा करना,fight
बिल्कुल,exactly
क्रम से लगाना,sort
पूरी तरह,completely
पुरुषों,men
नृत्य,dance
मुलाकात की,met
कहानी,story
जो कुछ भी,whatever
निर्माण,build
बोलना,speak
काँच,glass
दर्द,pain
जाँच करना,check
चमक,glare
कोना,corner
श्रीमती।,Mrs.
छाती,chest
गर्म,hot
की अपेक्षा,rather
महीना,month
असली,real
छूना,touch
पार्क,park
लाना,bring
वे,they're
पीना,drink
पहले,ago
ताकत,force
आपने,you've
तेज़,fast
खोया,lost
ध्यान,attention
इच्छा,wish
निशान,mark
लहर,wave
चिल्लाना,shout
भरना,fill
शुरू,begin
बच्चा,baby
दिलचस्पी,interest
